"EyeblasterAdID","SEAdID","AdGroupID","DestinationURL","AdTitle","AdText","AdDisplayURL"
"19793326","28447176390","3048307","http://www.partnerinfo.lenovo.com/partners/us/services.shtml","Why Use Lenovo Services?","Easy To Sell With Global Part","Lenovo.com/Partners-Services"
"19793327","28447176510","3048307","http://www.partnerinfo.lenovo.com/partners/us/services.shtml","Why Use Lenovo Services?","Increase Customer Satisfaction &","Lenovo.com/Partners-Services"
"19793328","28447176630","3048307","http://www.partnerinfo.lenovo.com/partners/us/services.shtml","Why Use Lenovo Services?","Proven Authorized Warranty Service","Lenovo.com/Partners-Services"
"19793329","28447176750","3048307","http://www.partnerinfo.lenovo.com/partners/us/services.shtml","Why Use Lenovo Services?","Helpful Sales Support Portals &","Lenovo.com/Partners-Services"
"19793330","28447176870","3048307","http://www.partnerinfo.lenovo.com/partners/us/services.shtml","Why Use Lenovo Services?","PCs Backed By Award-Winning","Lenovo.com/Partners-Services"
"21006989","29833407270","3048307","http://www.partnerinfo.lenovo.com/partners/us/services.shtml","Why Use Lenovo Services?","Easy To Sell With No Investment","Lenovo.com/Partners-Services"
"21006990","29833407390","3048307","http://www.partnerinfo.lenovo.com/partners/us/services.shtml","Why Use Lenovo Services?","No Investment Or Risk To You As A","Lenovo.com/Partners-Services"
"21006991","29833407510","3048307","http://www.partnerinfo.lenovo.com/partners/us/services.shtml","Why Use Lenovo Services?","Flexible À La Carte Services","Lenovo.com/Partners-Services"
"21834961","31366422030","3048307","http://www.partnerinfo.lenovo.com/partners/us/services.shtml","Why Use Lenovo Services?","Easy To Sell With Global Part","LenovoPartnerNetwork.com/Services"
"21834962","31366422150","3048307","http://www.partnerinfo.lenovo.com/partners/us/services.shtml","Why Use Lenovo Services?","Increase Customer Satisfaction &","LenovoPartnerNetwork.com/Services"
"21834963","31366422270","3048307","http://www.partnerinfo.lenovo.com/partners/us/services.shtml","Why Use Lenovo Services?","Proven Authorized Warranty Service","LenovoPartnerNetwork.com/Services"
"21834964","31366422390","3048307","http://www.partnerinfo.lenovo.com/partners/us/services.shtml","Why Use Lenovo Services?","Helpful Sales Support Portals &","LenovoPartnerNetwork.com/Services"
"21834965","31366422510","3048307","http://www.partnerinfo.lenovo.com/partners/us/services.shtml","Why Use Lenovo Services?","PCs Backed By Award-Winning","LenovoPartnerNetwork.com/Services"
"21834966","31366422630","3048307","http://www.partnerinfo.lenovo.com/partners/us/services.shtml","Why Use Lenovo Services?","Easy To Sell With No Investment","LenovoPartnerNetwork.com/Services"
"21834967","31366422750","3048307","http://www.partnerinfo.lenovo.com/partners/us/services.shtml","Why Use Lenovo Services?","No Investment Or Risk To You As A","LenovoPartnerNetwork.com/Services"
"21834968","31366422870","3048307","http://www.partnerinfo.lenovo.com/partners/us/services.shtml","Why Use Lenovo Services?","Flexible À La Carte Services","LenovoPartnerNetwork.com/Services"
