"CityID","CityName"
"260703","'s-Gravenzande"
"1","?"
"165","?"
"300","?"
"354","?"
"393","?"
"412","?"
"441","?"
"444","?"
"801","?"
"1042","?"
"1125","?"
"1135","?"
"1161","?"
"1164","?"
"1170","?"
"1177","?"
"1180","?"
"1235","?"
"1283","?"
"1305","?"
"1508","?"
"1527","?"
"1540","?"
"1556","?"
"1588","?"
"1627","?"
"1630","?"
"1646","?"
"1672","?"
"1675","?"
"1681","?"
"1691","?"
"1697","?"
"1707","?"
"1717","?"
"1736","?"
"1778","?"
"1826","?"
"1829","?"
"1832","?"
"1839","?"
"1842","?"
"1845","?"
"1871","?"
"1884","?"
"2028","?"
"2035","?"
"2218","?"
"2221","?"
"2398","?"
"2546","?"
"2549","?"
"2571","?"
"2864","?"
"3185","?"
"3596","?"
"3834","?"
"5174","?"
"11494","?"
"12481","?"
"12786","?"
"14280","?"
"20761","?"
"33195","?"
"33208","?"
"33221","?"
"33234","?"
"33240","?"
"33256","?"
"33282","?"
"33292","?"
"33308","?"
"33311","?"
"33314","?"
"33327","?"
"33337","?"
"33366","?"
"33385","?"
"33404","?"
"33417","?"
"33427","?"
"40608","?"
"40762","?"
"40827","?"
"40833","?"
"40836","?"
"40852","?"
"40865","?"
"40875","?"
"41296","?"
"41299","?"
"41309","?"
"41498","?"
"41505","?"
"41511","?"
"41521","?"
"41585","?"
"41611","?"
"41627","?"
"41633","?"
"41636","?"
"41646","?"
"42163","?"
"42671","?"
"42713","?"
"42729","?"
"42735","?"
"42745","?"
"42761","?"
"42771","?"
"42793","?"
"42796","?"
"42806","?"
"42812","?"
"42819","?"
"42838","?"
"42848","?"
"42854","?"
"42857","?"
"42864","?"
"42893","?"
"42925","?"
"42944","?"
"42954","?"
"42957","?"
"42960","?"
"42983","?"
"42989","?"
"43008","?"
"43018","?"
"43050","?"
"43079","?"
"43089","?"
"43092","?"
"43095","?"
"43111","?"
"43124","?"
"43143","?"
"43153","?"
"47404","?"
"47420","?"
"47523","?"
"47658","?"
"47671","?"
"47716","?"
"48098","?"
"48101","?"
"48140","?"
"48201","?"
"48606","?"
"49001","?"
"63093","?"
"63109","?"
"63119","?"
"63129","?"
"63138","?"
"63145","?"
"63154","?"
"63167","?"
"63177","?"
"63209","?"
"63222","?"
"63328","?"
"64504","?"
"64526","?"
"64539","?"
"243268","?"
"243702","?"
"248869","?"
"248904","?"
"248910","?"
"248936","?"
"248955","?"
"248962","?"
"248984","?"
"249013","?"
"249020","?"
"249029","?"
"249039","?"
"249052","?"
"249058","?"
"249074","?"
"249081","?"
"249103","?"
"249106","?"
"249110","?"
"249113","?"
"249116","?"
"249126","?"
"249132","?"
"249145","?"
"249151","?"
"249158","?"
"249174","?"
"249177","?"
"249180","?"
"249190","?"
"249196","?"
"249203","?"
"249206","?"
"249219","?"
"249232","?"
"249264","?"
"249267","?"
"249283","?"
"249293","?"
"249296","?"
"249315","?"
"249328","?"
"249344","?"
"249347","?"
"249354","?"
"249360","?"
"249367","?"
"249370","?"
"249383","?"
"249392","?"
"249421","?"
"249437","?"
"249444","?"
"249457","?"
"249463","?"
"249466","?"
"249476","?"
"249489","?"
"249508","?"
"249511","?"
"249518","?"
"249566","?"
"249572","?"
"249585","?"
"249588","?"
"249601","?"
"249611","?"
"249633","?"
"249640","?"
"249672","?"
"249675","?"
"249691","?"
"249707","?"
"249717","?"
"249733","?"
"249739","?"
"249743","?"
"249746","?"
"249768","?"
"249781","?"
"249784","?"
"249791","?"
"249810","?"
"249813","?"
"249836","?"
"249852","?"
"249855","?"
"249871","?"
"249884","?"
"249903","?"
"249919","?"
"249971","?"
"249974","?"
"249977","?"
"249990","?"
"250003","?"
"250009","?"
"250019","?"
"250022","?"
"250032","?"
"250048","?"
"250051","?"
"250077","?"
"250080","?"
"250083","?"
"250090","?"
"250115","?"
"250122","?"
"250151","?"
"250154","?"
"250167","?"
"250170","?"
"250176","?"
"250186","?"
"250199","?"
"250205","?"
"250228","?"
"250231","?"
"250234","?"
"250241","?"
"250276","?"
"250286","?"
"250302","?"
"250308","?"
"250318","?"
"250340","?"
"250350","?"
"250369","?"
"250372","?"
"250376","?"
"250379","?"
"250392","?"
"250440","?"
"250462","?"
"250485","?"
"250498","?"
"250514","?"
"250517","?"
"250533","?"
"250593","?"
"250603","?"
"250606","?"
"250609","?"
"250616","?"
"250622","?"
"250632","?"
"250635","?"
"250645","?"
"250667","?"
"250683","?"
"250693","?"
"250709","?"
"250712","?"
"250738","?"
"250744","?"
"250757","?"
"250773","?"
"250780","?"
"250786","?"
"250796","?"
"250802","?"
"250812","?"
"250825","?"
"250828","?"
"250831","?"
"250841","?"
"250860","?"
"250873","?"
"250879","?"
"250886","?"
"250889","?"
"250892","?"
"250905","?"
"250921","?"
"250934","?"
"250953","?"
"250960","?"
"250976","?"
"250992","?"
"251001","?"
"251008","?"
"251014","?"
"251046","?"
"251056","?"
"251085","?"
"251088","?"
"251098","?"
"251143","?"
"251149","?"
"251156","?"
"251175","?"
"251178","?"
"251201","?"
"251210","?"
"251217","?"
"251220","?"
"251239","?"
"251281","?"
"251287","?"
"251316","?"
"251323","?"
"251339","?"
"251342","?"
"251345","?"
"251371","?"
"251387","?"
"251403","?"
"251406","?"
"251419","?"
"251464","?"
