"AdGroupID","SearchCampaignID","SEAdGroupID","AdGroupName"
"3048307","10189699","10715291430","Lenovo Services Customer Support"
"3048309","10189699","10715291190","Lenovo Services"
"3048312","10189700","10715294550","Thinkpad Helix"
"3048318","10189700","10715293830","Lenovo Helix Laptop"
"3048329","10189700","10715294070","Lenovo Helix Tablet"
"3048331","10189700","10715293710","Lenovo Helix"
"3048341","10189700","10715294670","Thinkpad Helix Laptop"
"3048342","10189700","10715294310","Lenovo Helix Ultrabook"
"3048344","10189700","10715293950","Lenovo Helix Laptops"
"3048348","10189700","10715293230","Helix Tablet"
"3048352","10189700","10715292510","Business Ultrabook"
"3048353","10189701","10715295390","Lenovo Tablet 2"
"3048354","10189701","10715295510","Lenovo Thinkpad Tablet 2"
"3048359","10189702","10715295990","Thinkpad X Series Laptops"
"3048362","10189702","10715295630","Lenovo Carbon X Laptop"
"3048375","10189704","10714775550","Lenovo New Customer Bonus"
"3048376","10189704","10714774470","Lenovo Partner Program"
"3048381","10189704","10714774830","Lenovo Reseller Program"
"3048408","10189708","10714778430","Lenovo Solution Centre"
"3048410","10189708","10714778070","Lenovo Solutions Book"
"3048419","10189708","10714778310","Lenovo Solutions Center"
"3048428","10189708","10714778550","Lenovo Solutions Centre"
"3048430","10189708","10714778190","Lenovo Solution Center"
"3048439","10189709","10714781550","Lenovo Quick Pick"
"3048454","10189711","10714783950","Lenovo Partner Network"
"3048455","10189711","10714783830","Lenovo Business Partner"
"3321307","10216082","2283878181","Plantronics Headsets"
"3321310","10216082","1657496901","Plantronics_Phrase"
"3321316","10216082","2219941941","Brand Weblinks"
"3321322","10216082","1657497141","Plantronics Exact"
"3321668","10216096","6822497781","Branded Voyager Legend B235"
"3321672","10216096","4021175541","Plantronics M55"
"3321673","10216096","4320311541","Voyager Legend"
"3321677","10216096","2138740821","Savor M1100"
"3321678","10216096","4430238021","Marque 2"
"3321679","10216096","2148358941","Voyager Pro HD"
"3321680","10216096","2138783541","K100"
"3321684","10216096","2138811741","M20"
"3321685","10216096","2138742141","Voyager Pro"
"3321686","10216096","2882695341","Voyager 520"
"3321687","10216096","2138741781","Voyager"
"3321688","10216096","6822497901","Non-Branded Computer Wireless Headset"
"3321689","10216096","2138746941","Plantronics Bluetooth"
"3321692","10216096","4021171941","Plantronics M25"
"3321697","10216096","5014577181","Voyager Legend - UC"
"3321701","10216096","2138738901","Marque M155"
"3321705","10216096","2753464941","m50"
"3321728","10216097","2153809821","Blackwire 435"
"3321731","10216097","6822498261","Blackwire 700 Series - Branded"
"3321732","10216097","2331777741","s12"
"3321733","10216097","2328213141","T20"
"3321737","10216097","2152857141","CS70"
"3321738","10216097","4021437741","m214c"
"3321739","10216097","2152856781","CS50"
"3321742","10216097","2316463341","T10"
"3321744","10216097","2501328861","S11"
"3321750","10216097","6822498381","Blackwire 710"
"3321754","10216099","4258229541","Plantronics Calisto Pro Headset Replacement"
"3321759","10216099","2281948221","Plantronics Voice Tube-17593-01"
"3321760","10216099","2281945461","Plantronics Eartips"
"3321767","10216099","7645569741","SHS1890"
"3321768","10216099","2398382541","Plantronics DA60"
"3321771","10216099","6548783301","Plantronics Earpiece"
"3321772","10216099","2308608141","Plantronics cs55 Battery"
"3321774","10216099","2281945341","Plantronics Voyager Eartips"
"3321779","10216099","5944317741","Plantronics Voyager Legend Accessories Charger Case"
"3321781","10216099","2283423621","Plantronics HL10 Lifter"
"3321783","10216099","2316403101","Plantronics Ear Cushions"
"3321786","10216099","2281959381","Plantronics cs50 Battery-64399-01"
"3321787","10216099","4258092861","Plantronics Headset Battery 65358"
"3321790","10216099","2158989141","Accessories"
"3321791","10216099","2281945221","Plantronics cs50 Battery"
"3321794","10216099","4258115901","Plantronics Cord 26716"
"3321882","10216106","2282983941","Savi 700 Series"
"3321883","10216106","2282983821","Savi 740 Convertible"
"3321884","10216106","2283361941","Savi 740-m Convertible"
"3321887","10216107","2296944861","Plantronics Support"
"3321888","10216107","2316274941","Manual-cs50"
"3321891","10216107","3968348901","Manual-BackBeat Go"
"3321892","10216107","2321460741","Pairing-Bluetooth Headset"
"3321893","10216107","6608025021","Manual-cs540"
"3321895","10216107","2368185261","Manual-cs70n Headset"
"3321896","10216107","2284549941","Plantronics My Headset"
"3321897","10216107","4852645221","Pairing-Voyager Legend"
"3321899","10216107","2316267741","Pairing-Voyager Pro"
"3321900","10216107","7061630781","Manual-Voyager Legend"
"3321901","10216107","6608024181","Manual-cs530"
"3321902","10216107","2316795501","Manual-cs55"
"3321908","10216108","2318386221","Audio 355"
"3321909","10216108","2330668701","Audio 995"
"3321925","10216112","6545675061","Branded cs530 Headset"
"3321926","10216112","2722608981","CS500 Series"
"3321927","10216112","2757143781","cs520 Headset"
"3321931","10216112","2722608381","CS55 Headset"
"3321932","10216112","2722609341","cs540 Headset"
"3321936","10216112","2728595781","CS361N"
"3321983","10216114","2767344861","Headsets"
"3321984","10216114","3650668221","UC Headsets"
"3321985","10216114","6545613741","Wireless Headsets"
"3322127","10216125","4311472701","Backbeat Go Branded"
"3322194","10216136","6676529901","GameCom Commander"
"3322195","10216136","6676529781","GameCom 780"
"3352092","10219755","6368088354","Server Security"
"3352096","10219755","4978472514","Business Antivirus & Endpoint Security"
"3352100","10219755","4935473274","Two Factor Authentication"
"3352135","10219760","7456433634","Similar - Endpoint Products"
"3352136","10219760","8292994554","Similar - Mail Security"
"3352189","10219764","5733194867","ESET - Endpoint Antivirus"
"3352193","10219764","3833706347","ESET - File Security"
"3352196","10219764","3833705747","ESET - Business"
"3352218","10219766","6327125147","Small Business Antivirus - Phrase"
"3352222","10219766","6327124907","Business Antivirus - Phrase"
"3352224","10219767","6327125627","Endpoint Protection"
"3352226","10219767","6327125507","Endpoint Security"
"3352230","10219767","6327125747","Endpoint Antivirus"
"3352231","10219768","6327127187","Gateway Server - Security"
"3352234","10219768","6327127067","File Server - Security"
"3352235","10219768","6327126947","Mail Server - Security"
"3352238","10219768","6327126827","Server - Security"
"3352249","10219769","7441243667","Healthcare - Encryption"
"3352260","10219769","7386407147","Healthcare - HIPAA Security Audit"
"3352264","10219769","7403270747","Healthcare - HIPAA Security Software"
"3352290","10219769","7442422187","Healthcare - Antivirus"
"3352316","10219771","7567904987","Windows 8 Antivirus -  Exact"
"3352319","10219771","7567904867","Linux Antivirus -  Exact"
"3352341","10219771","7567904627","Windows Antivirus -  Exact"
"3352345","10219771","7567904507","Windows 7 Antivirus -  Exact"
"3352356","10219771","7567904387","PC Antivirus -  Exact"
"3352360","10219771","7567905107","Mac Antivirus -  Exact"
"3352391","10219773","7567906667","Feature - Anti Malware"
"3352425","10219775","7699176947","Virus Protection - Generic - Exact"
"3352431","10219775","7567908467","Virus Protection - Software - Exact"
"3352448","10219776","7614742427","Removal - Service - Exact"
"3352468","10219776","7686868067","Removal - Ransomware - Exact"
"3352476","10219777","7567910867","Virus Protection Trial - Exact"
"3352486","10219777","7567910387","Antivirus Trial - Exact"
"3352490","10219778","7567912787","Password Authentication"
"3352491","10219778","7567912667","One Time Password"
"3352493","10219778","7567912547","VPN"
"3352496","10219778","7567912427","Multi Factor Authentication"
"3352503","10219778","7567911947","Two Factor Authentication"
"3352506","10219779","7567915307","ESET Smart Security Antivirus - Exact"
"3352520","10219779","7567913867","Smart Security - Phrase"
"3352529","10219779","7567915187","ESET Smart Security - Exact"
"3352544","10219779","7567916507","ESET Smart Security - BroadMod"
"3352551","10219779","7567915787","Smart Security - Exact"
"3352555","10219779","7567915427","ESET Smart Security Download - Exact"
"3352575","10219779","7567913987","ESET Smart Security - Phrase"
"3352588","10219780","7766991467","ESET NOD32 Download Antivirus - Broad"
"3352600","10219780","7567918547","NOD32 Antivirus - Exact"
"3352602","10219780","7567920587","NOD32 URLs - Exact"
"3352621","10219780","7567919987","NOD32 Reviews - Exact"
"3352648","10219780","7567920947","NOD32 Antivirus - Phrase"
"3352677","10219780","7766991587","ESET NOD32 Online Scan - Exact"
"3352709","10219780","7567920707","NOD32 - Phrase"
"3352716","10219780","7567919267","NOD32 Download - Exact"
"3352718","10219780","7567918307","NOD32 - Exact"
"3352748","10219780","7567921667","NOD32 Download - Phrase"
"3352758","10219780","7567918667","ESET NOD32 Antivirus - Exact"
"3352772","10219780","7567921067","ESET NOD32 Antivirus - Phrase"
"3352799","10219780","7567920467","NOD32 Typos - Exact"
"3352806","10219780","7567917107","NOD32 - Broad"
"3352807","10219780","7567922027","ESET NOD32 Scan - Phrase"
"3352815","10219780","7567919387","ESET NOD32 Download - Exact"
"3352816","10219780","7567920827","ESET NOD32 - Phrase"
"3352818","10219780","7567918427","ESET NOD32 - Exact"
"3352822","10219780","7567917467","ESET NOD32 Antivirus - Broad"
"3352825","10219781","7567925987","ESET Typos - Phrase"
"3352827","10219781","7567925627","ESET Renewals - Phrase"
"3352828","10219781","7567925267","ESET - Phrase"
"3352829","10219781","7567924907","ESET Virus - Exact"
"3352830","10219781","7567924547","ESET Software - Exact"
"3352831","10219781","7567924187","ESET Renewals - Exact"
"3352832","10219781","7567923827","ESET - Exact"
"3352833","10219781","7567926227","ESET Virus - Phrase"
"3352837","10219781","7567925507","ESET Download - Phrase"
"3352838","10219781","7567925147","ESET Scan - Phrase"
"3352839","10219781","7567924787","ESET URLs - Exact"
"3352840","10219781","7567924427","ESET Security - Exact"
"3352841","10219781","7567924067","ESET Download - Exact"
"3352842","10219781","7567923707","ESET Scan - Exact"
"3352843","10219781","7567926107","ESET URLs - Phrase"
"3352844","10219781","7567923347","ESET Security - Broad"
"3352845","10219781","7567925747","ESET Security - Phrase"
"3352846","10219781","7567925387","ESET Antivirus - Phrase"
"3352848","10219781","7567924667","ESET Typos - Exact"
"3352849","10219781","7567924307","ESET Reviews - Exact"
"3352850","10219781","7567923947","ESET Antivirus - Exact"
"3352853","10219782","7567926707","Family Security Pack - Exact"
"3352854","10219782","7567926587","Family Security Pack - Broad"
"3352855","10219783","7567927187","ESET - Cyber Security Pro - Phrase"
"3352860","10219788","7593493667","Cybersecurity Policy"
"3352866","10219791","7749515507","ESET NOD32 Trial - Exact"
"3352867","10219791","7749515387","ESET NOD32 Trial - Phrase"
"3352868","10219791","7749515747","ESET - Trial - Exact"
"3352869","10219791","7749515627","ESET - Trial - Phrase"
"3353489","10219774","7768515467","Antivirus - Best Software - BroadMod"
